"","daytime_pop","daytime_density","travel_to","DP0010001","brewery","cafe","medinc","b_hs","hs","phd","oldpop","youngpop","dist1","dist2","dist3","dist4","zone","hood"
"4587",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"Residential Single Family 7200","Lawton Park"
"4588",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,1,2,"Residential Single Family 5000","Southeast Magnolia"
"4589",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Lowrise 3","Lawton Park"
"4590",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,2,2,2,2,"Residential Single Family 7200","Lawton Park"
"4591",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"Lowrise 3","Interbay"
"4592",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,1,1,1,"Lowrise 3","Lawton Park"
"4593",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,1,1,"Neighborhood Commercial 1","Lawton Park"
"4594",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,0,0,1,"Residential Single Family 5000","Briarcliff"
"4595",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4596",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,1,1,"Residential Single Family 7200","Lawton Park"
"4597",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,1,1,1,"Residential Single Family 5000","Lawton Park"
"4598",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"Residential Single Family 7200","Lawton Park"
"4599",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,1,1,4,4,"Residential Single Family 7200","Briarcliff"
"4600",5058,1636.055585781,3139,5059,0,0,66455,0,43.5,23.7,4384,531,1,5,6,7,"General Industrial 1","Interbay"
"4601",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,2,2,"Residential Single Family 7200","Lawton Park"
"4602",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,1,1,1,"Residential Single Family 5000","Lawton Park"
"4603",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,2,2,3,"Residential Single Family 5000","Southeast Magnolia"
